Date,Day,Month,Year,Type,Country,Area,Location,Activity,Sex,Age,Injury,Fatal (Y/N),Species
20-Mar-12,20,Mar,2012,Unprovoked,AUSTRALIA,Queensland,Nobby's Beach,Surfing,M,20,Lacerations to left calf,N,Bull shark
15-Mar-12,15,Mar,2012,Unprovoked,USA,Florida,"Jensen Beach, Martin County",Surfing,M,61,Left forearm bitten,N,Bull shark
14-Mar-12,14,Mar,2012,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,F,15,Bitten on ankle,N,Unknown
14-Mar-12,14,Mar,2012,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,17,Bitten on calf,N,Unknown
6-Mar-12,6,Mar,2012,Provoked,AUSTRALIA,Victoria,"Shipwreck Cove, Melbourne Aquarium",Diving,F,34,Superficial lacerations to right side of face PROVOKED ACCIDENT,N,Grey nurse shark
5-Mar-12,5,Mar,2012,Unprovoked,REUNION,Saint-Benoit,Port de la?Marine,Paddle and Boogie boarding,M,31,"No injury, board bitten",N,Unknown
4-Mar-12,4,Mar,2012,Unprovoked,USA,Florida,"Playalinda Beach, Brevard County",Surfing,M,19,Lacerations to left calf,N,Unknown
6-Feb-12,6,Feb,2012,Unprovoked,AUSTRALIA,Queensland,Wurtulla,Surfing,M,29,"No injury, but fin lost from surfboard",N,Unknown
19-Jan-12,19,Jan,2012,Unprovoked,AUSTRALIA,Western Australia,Coral Bay,Snorkeling,M,26,Lacerations to right forearm,N,Tiger shark
18-Jan-12,18,Jan,2012,Provoked,TAIWAN,Taitung,Taimali,Fishing,M,24,Bitten on left thigh     PROVOKED ACCIDENT,N,Blue shark
18-Jan-12,18,Jan,2012,Unprovoked,AUSTRALIA,New South Wales,Redhead Beach,Surfing,M,44,Lacerations to thigh,N,White shark
15-Jan-12,15,Jan,2012,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Second Beach, Port St. Johns",Swimming,M,25,FATAL,Y,Bull shark
13-Jan-12,13,Jan,2012,Unprovoked,USA,Oregon,"Lincoln City, Lincoln County",Surfing,M,53,"No injury, surfboard damaged",N,White shark
3-Jan-12,3,Jan,2012,Unprovoked,AUSTRALIA,New South Wales,North Avoca Beach,Surfing,M,28,Right forearm and wrist injured,N,Unknown
2-Jan-12,2,Jan,2012,Unprovoked,AUSTRALIA,Queensland,Duranbah,Fishing,M,34,"No injury, punctures to swim fin",N,Tiger shark
25-Dec-11,25,Dec,2011,Unprovoked,ECUADOR,Santa Elena,Barand?a Beach,Surfing,M,23,Lacerations to left thigh and calf,N,Unknown
23-Dec-11,23,Dec,2011,Unprovoked,USA,Florida,New Smyrna Beach,Surfing,M,27,Laceration to ankle,N,Unknown
21-Dec-11,21,Dec,2011,Boating,SOUTH AFRICA,Eastern Cape Province,"Noordhoek, Port Elizabeth",Fishing,M,35,No injury but kayak dented,N,Unknown
11-Dec-11,11,Dec,2011,Unprovoked,AUSTRALIA,New South Wales,Angourie,Surfing,M,51,5 puncture wounds to thigh,N,White shark
7-Dec-11,7,Dec,2011,Unprovoked,AUSTRALIA,New South Wales,Maroubra,Surfing,M,14,Minor injuries to left leg,N,Wobbegong shark
2-Dec-11,2,Dec,2011,Unprovoked,AUSTRALIA,New South Wales,Broken Head,Surfing,M,63,Torn shoulder ligament as result of collision with shark,N,Unknown
29-Nov-11,29,Nov,2011,Unprovoked,INDONESIA,Bali,Tabanan,Surfing,M,18,Lacerations to right hand,N,Unknown
28-Nov-11,28,Nov,2011,Unprovoked,AUSTRALIA,Queensland,Peregian,Swimming,M,10,Puncture marks to foot,N,Wobbegong shark
12-Nov-11,12,Nov,2011,Unprovoked,BRAZIL,Pernambuco,"Punta Del Chifre Beach, Olinda",Surfing,M,35,Legs bitten,N,Unknown
11-Nov-11,11,Nov,2011,Unprovoked,REUNION,Bois-Blanc,Sainte-Rose,Diving,M,42,Left foot bitten,N,Unknown
29-Oct-11,29,Oct,2011,Unprovoked,USA,California,"Marina State Beach, Monterey County",Surfing,M,27,"Lacerations to right wrist, foream & neck",N,White shark
28-Oct-11,28,Oct,2011,Unprovoked,SCOTLAND,Moray,Spey Bay,Surfing,M,26,"No injury, shark bumped leg & board.",N,Unknown
22-Oct-11,22,Oct,2011,Unprovoked,AUSTRALIA,Western Australia,Rottnest Island,Diving,M,32,FATAL,Y,White shark
20-Oct-11,20,Oct,2011,Unprovoked,USA,Oregon,"Newport, Lincoln County",Surfing,M,41,"No injury, shark bit surfboard",N,White shark
19-Oct-11,19,Oct,2011,Unprovoked,AUSTRALIA,Victoria,Elwood Beach,Diving,M,50,Small bruise to calf,N,Port Jackson shark
9-Oct-11,9,Oct,2011,Unprovoked,AUSTRALIA,Western Australia,Cottesloe Beach,Swimming,M,64,FATAL,Y,Unknown
28-Sep-11,28,Sep,2011,Provoked,DOMINICAN REPUBLIC,Saman? Province,Playa Jackson,Fishing,M,48,Severe injuries to left arm PROVOKED INCIDENT,N,Unknown
28-Sep-11,28,Sep,2011,Unprovoked,SOUTH AFRICA,Western Cape Province,Clovely Beach,Swimming,M,43,"Right leg severed, left leg lacerated",N,White shark
24-Sep-11,24,Sep,2011,Unprovoked,USA,Florida,"Santa Maria Island, Manatee County",Fishing,M,21,Laceration to left thigh,N,Bull shark
24-Sep-11,24,Sep,2011,Unprovoked,USA,South Carolina,"North Myrtle Beach, Horry County",Playing in the water,M,5,Laceration to left thigh,N,Unknown
19-Sep-11,19,Sep,2011,Unprovoked,REUNION,Saint-Gilles,Boucan-Canot,Paddle and Boogie boarding,M,38,FATAL,Y,Unknown
17-Sep-11,17,Sep,2011,Unprovoked,KENYA,Coast Province,"Mama Ngina Beach, Mombasa",Swimming,M,17,FATAL,Y,Unknown
16-Sep-11,16,Sep,2011,Unprovoked,USA,Florida,New Smyrna Beach,Surfing,M,25,Lacerations to arm,N,Unknown
11-Sep-11,11,Sep,2011,Unprovoked,USA,California,"Samoa Beach, Humboldt County",Surfing,M,37,"No injury, board bitten",N,Unknown
11-Sep-11,11,Sep,2011,Unprovoked,PAPUA NEW GUINEA,Central Province,"Hula, near Port Moresby",Surfing,M,30,Lacerations to right leg,N,Tiger shark
4-Sep-11,4,Sep,2011,Unprovoked,AUSTRALIA,Western Australia,Bunker Bay,Paddle and Boogie boarding,M,21,FATAL,Y,White shark
2-Sep-11,2,Sep,2011,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,19,Lacerations to ankle & foot,N,Unknown
31-Aug-11,31,Aug,2011,Unprovoked,USA,Florida,Crescent Beach St. Johns County,Surfing,M,19,Lacerations to lower leg,N,Unknown
28-Aug-11,28,Aug,2011,Unprovoked,USA,Texas,"Grass Island, Aransas County",Walking,F,39,"Lacerations to anterior left shin, abrasion to posteior right leg",N,Unknown
24-Aug-11,24,Aug,2011,Unprovoked,USA,North Carolina,"Buxton Beach, Dare County",Surfing,M,21,Lacerations to foot,N,Unknown
23-Aug-11,23,Aug,2011,Unprovoked,SOUTH AFRICA,Western Cape Province,"Lookout Beach, near the Keurbooms river mouth in Plettenberg Bay",Surfing,M,49,FATAL,Y,White shark
18-Aug-11,18,Aug,2011,Unprovoked,RUSSIA,"Peter the Great Bay, Khasan, Primorsky Krai (Far East)",Zheltukhin Island,Swimming,M,16,"Lacerations to hip, thigh and knee",N,Unknown
17-Aug-11,17,Aug,2011,Unprovoked,RUSSIA,"Telyakovsky Bay, Khasan, Primorsky Krai (Far East)",Vityaz,Swimming,M,25,Hands severed,N,Unknown
16-Aug-11,16,Aug,2011,Unprovoked,FRENCH POLYNESIA,Society Islands,"Teahupoo, Tahiti",Surfing,M,32,"No injury, board bitten",N,Grey reef shark
16-Aug--2011,16,Aug,2011,Unprovoked,USA,Puerto Rico,Vieques,Floating,M,27,Lacerations to  lower right leg and foot,N,Unknown
16-Aug-11,16,Aug,2011,Unprovoked,SEYCHELLES,Praslin,Anse Lazio,Swimming,M,30,FATAL,Y,Bull shark
15-Aug-11,15,Aug,2011,Invalid,USA,South Carolina,"Myrtle Beach, Horry County",Playing in the water,M,7,Puncture wounds to foot,N,Unknown
11-Aug--2011,11,Aug,2011,Unprovoked,USA,North Carolina,Beaufort Inlet,Swimming,M,54,Lower right leg bitten,N,Unknown
1-Aug-11,1,Aug,2011,Unprovoked,SEYCHELLES,Praslin,Anse Lazio,Diving,M,36,FATAL,Y,Unknown
22-Jul-11,22,Jul,2011,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Cintza Beach, East London",Surfing,M,29,Upper left arm & right leg bitten,N,White shark
19-Jul-11,19,Jul,2011,Unprovoked,USA,North Carolina,"Ocracoke Island, Hyde County",Paddle and Boogie boarding,F,6,Lower right leg & foot bitten,N,Unknown
13-Jul-11,13,Jul,2011,Unprovoked,BAHAMAS,Grand Bahama Island,Off Lucaya,Diving,M,54,Injuries to arm,N,Unknown
7-Jul-11,7,Jul,2011,Unprovoked,USA,Texas,"Sunday Beach, Matagorda Island, Calhoun  County",Swimming,M,12,Foot bitten,N,Unknown
7-Jul-11,7,Jul,2011,Unprovoked,USA,Texas,"Mustang Island, Nueces County",Walking,M,14,Lacerations to right foot,N,Unknown
6-Jul-11,6,Jul,2011,Unprovoked,REUNION,Saint-Gilles,Roches Noires,Surfing,M,16,Minor injuries: scratches on nose & ankle. Board broken in two,N,Unknown
5-Jul-11,5,Jul,2011,Unprovoked,COLUMBIA,Sucre,"Libertad, San Onofre",Kayaking,M,17,"Right arm bitten, defense wounds to left hand",N,Unknown
30-Jun-11,30,Jun,2011,Unprovoked,TURKS & CAICOS,Middle Caicos,Mudjin Harbor,Snorkeling,M,28,Lacerations to left shoulder and back,N,Unknown
29-Jun-11,29,Jun,2011,Unprovoked,BRAZIL,Pernambuco,Praia do Pina,Surfing,M,21,Lacerations to right thigh,N,Unknown
28-Jun-11,28,Jun,2011,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Aliwal Shoal,Diving,M,22,Severe lacerations to hands and  left leg,N,Bull shark
26-Jun-08,26,Jun,2011,Unprovoked,USA,North Carolina,"North Topsail Beach, Onslow County",Playing in the water,F,10,Ankle bitten,N,Bull shark
19-Jun-11,19,Jun,2011,Unprovoked,TURKS & CAICOS,Caicos Bank,French Cay,Fishing,M,35,Right calf bitten,N,Unknown
19-Jun-11,19,Jun,2011,Unprovoked,COSTA RICA,Guanacaste,Playa Grande,Surfing,M,15,FATAL,Y,Unknown
15-Jun-11,15,Jun,2011,Unprovoked,REUNION,Saint-Gilles-les-Bains,Boucan-Canot,Paddle and Boogie boarding,M,31,FATAL,Y,Unknown
12-Jun-11,12,Jun,2011,Unprovoked,USA,Florida,"Off Jupiter Inlet, Palm Beach County",Diving,M,28,Lacerations to right calf,N,Blacktip shark
6-Jun-11,6,Jun,2011,Unprovoked,COLUMBIA,San Andr?s archipelago,Albuquerque Cay,Fishing,M,24,Injuries to right hand and forearm,N,Unknown
6-Jun-11,6,Jun,2011,Unprovoked,USA,California,"La Jolla, San Diego County",Fishing,M,28,"No injury, minor damage to wetsuit",N,Sevengill shark
6-Jun-11,6,Jun,2011,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Walking,M,19,Puncture wound to calf,N,Unknown
30-May-11,30,May,2011,Unprovoked,USA,Texas,"Follett's Island, Brazoria County",Standing,F,22,Lacerations & punctures to right thigh,N,Unknown
29-May-11,29,May,2011,Unprovoked,SOUTH AFRICA,Western Cape Province,Robberg Beach,Surfing,M,33,"No injury, board bumped by shark",N,White shark
21-May-11,21,May,2011,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Levan Point,Fishing,M,28,"Thigh bitten, FATAL",Y,Zambesi shark
13-May-11,13,May,2011,Unprovoked,USA,Florida,"Ponte Vedra Beach, St Johns County",Paddle and Boogie boarding,M,86,Lacerations to left foot & ankle,N,Unknown
21-May-11,21,May,2011,Unprovoked,NEW CALEDONIA,North Province,Kendec,Paddle and Boogie boarding,M,15,"Thigh bitten, FATAL",Y,Tiger shark
4-May-11,4,May,2011,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Palm Beach,Fishing,M,37,Calf bitten,N,Unknown
26-Apr-11,26,Apr,2011,Unprovoked,USA,Florida,"Riviera Beach, Palm Beach County",Fishing,M,32,Calf bitten,N,Bull shark
23-Apr-11,23,Apr,2011,Unprovoked,AUSTRALIA,Western Australia,Red Bluffs,Swimming,M,17,Heel bitten,N,Reef shark
22-Apr-11,22,Apr,2011,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,49,Minor puncture wounds,N,Unknown
16-Apr-11,16,Apr,2011,Unprovoked,NEW ZEALAND,South Island,Snapper Point,Surfing,M,41,Puncture to left hand,N,Bronze whaler shark
8-Apr-11,8,Apr,2011,Unprovoked,FIJI,Vitu Levu,"Malake Island, Ra Province",Diving,M,27,Minor injuries to left leg and hand,N,Unknown
23-Mar-11,23,Mar,2011,Unprovoked,AUSTRALIA,New South Wales,Crowdy Head,Surfing,M,48,Severe injury to left forearm,N,Bull shark
21-Mar-11,21,Mar,2011,Unprovoked,MEXICO,Quintana Roo,NA,Swimming,M,46,Right foot bitten,N,Unknown
16-Mar-11,16,Mar,2011,Unprovoked,AUSTRALIA,New South Wales,"Jimmys Beach, Port Stephens",Paddle and Boogie boarding,F,24,"Severe injuries to head, neck, shoulder & upper left arm",N,Unknown
28-Feb-11,28,Feb,2011,Provoked,AUSTRALIA,Queensland,Between,Fishing,M,36,Lacerations to right hand by hooked shark PROVOKED INCIDENT,N,Bull shark
23-Feb-11,23,Feb,2011,Unprovoked,NEW CALEDONIA,Loyalty Islands,"Bay of Bweedro, Ouv?a",Fishing,M,21,Lacerations to left forearm,N,Unknown
18-Feb-11,18,Feb,2011,Unprovoked,REUNION,Saint Gilles,Trois-Roches,Surfing,M,32,Left leg severed at the knee,N,Unknown
17-Feb-11,17,Feb,2011,Unprovoked,AUSTRALIA,South Australia,Off Perforated Island near Coffin Bay,Diving,M,49,FATAL,Y,White shark
12-Feb-11,12,Feb,2011,Unprovoked,AUSTRALIA,Western Australia,Exmouth,Snorkeling,M,58,Arm bitten,N,Unknown
2-Feb-11,2,Feb,2011,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Sundays River Mouth, Port Elizabeth",Fishing,M,37,Right leg bitten,N,Unknown
31-Jan-11,31,Jan,2011,Unprovoked,MEXICO,Quintana Roo,Cancun,Swimming,F,38,"Leg, forearm & hand severely bitten",N,Unknown
28-Jan-11,28,Jan,2011,Provoked,MEXICO,Colima,Revillagigedo Islands,Fishing,M,25,Left eg bitten PROVOKED INCIDENT,N,Unknown
26-Jan-11,26,Jan,2011,Unprovoked,BAHAMAS,West End,Tiger Beach,Diving,M,55,Arm bitten,N,Caribbean reef shark
15-Jan-11,15,Jan,2011,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Second Beach, Port St. John's",Surfing,M,16,FATAL,Y,Unknown
26-Dec-10,26,Dec,2010,Unprovoked,USA,Hawaii,"Kahului, Maui",Paddle and Boogie boarding,M,16,"Lacerations to his lower left leg, calf, foot & ankle",N,Unknown
11-Dec-10,11,Dec,2010,Unprovoked,USA,Hawaii,"Tavares Bay, Maui",Surfing,M,46,Lacerations to right foot,N,Unknown
5-Dec-10,5,Dec,2010,Unprovoked,EGYPT,South Sinai Peninsula,"Middle Garden, Sharm el-Shiekh",Snorkeling,F,70,FATAL,Y,Oceanic whitetip shark
1-Dec-10,1,Dec,2010,Unprovoked,EGYPT,South Sinai Peninsula,"Ras Nasrani, Sharm el-Sheikh",Snorkeling,M,54,Both arms severely bitten,N,Mako shark
1-Dec-10,1,Dec,2010,Unprovoked,EGYPT,South Sinai Peninsula,"Ras Nasrani, Sharm el-Sheikh",Snorkeling,M,46,Lacerations to right leg,N,Mako shark
30-Nov-10,30,Nov,2010,Unprovoked,EGYPT,South Sinai Peninsula,"Coral Bay, Sharm el-Sheikh",Snorkeling,F,70,"Foot severed, Right forearm severed, lacerations to left hand (defense wounds)",N,Oceanic whitetip shark
30-Nov-10,30,Nov,2010,Unprovoked,EGYPT,South Sinai Peninsula,"Coral Bay, Sharm el-Sheikh",Snorkeling,F,48,Foot and arm bitten,N,Oceanic whitetip shark
19-Nov-10,19,Nov,2010,Provoked,USA,Palmyra Atoll,NA,Snorkeling,M,33,Head bitten by netted shark PROVOKED INCIDENT,N,Unknown
30-Oct-10,30,Oct,2010,Unprovoked,AUSTRALIA,Western Australia,Off Garden Island,Snorkeling,F,20,Torso and left buttock bitten,N,White shark
23-Oct-10,23,Oct,2010,Unprovoked,USA,Maine,"Burnt Cove near Eastport, Washington County",Diving,M,30,"No injury to diver, shark bit his video camera",N,Porbeagle shark
23-Oct-10,23,Oct,2010,Unprovoked,AUSTRALIA,Western Australia,Wedge Island,Surfing,M,14,Lacerations to lower right leg,N,Unknown
22-Oct-10,22,Oct,2010,Unprovoked,USA,California,"Surf Beach, Vandenberg AFB, Santa Barbara County",Paddle and Boogie boarding,M,19,FATAL,Y,White shark
9-Oct-10,9,Oct,2010,Unprovoked,AUSTRALIA,New South Wales,Mullaway Headland,Surfing,M,22,Foot bitten,N,Bull shark
27-Sep-10,27,Sep,2010,Unprovoked,USA,Oregon,Winchester Bay,Surfing,M,29,"No injury, surfboard rammed",N,White shark
24-Sep-10,24,Sep,2010,Unprovoked,USA,Virginia,Sandridge Beach,Surfing,M,18,Bite to left ankle and knee,N,Unknown
21-Sep-10,21,Sep,2010,Unprovoked,SOUTH AFRICA,Western Cape Province,Between Dyer Island and Pearly Beach,Swimming,M,29,FATAL,Y,White shark
13-Sep-10,13,Sep,2010,Unprovoked,AUSTRALIA,New South Wales,Fraser's Reef,Surfing,M,15,Lacerations and puncture wounds to leg and foot,N,Unknown
7-Sep-10,7,Sep,2010,Unprovoked,USA,Florida,"St. Augustine, St. John's County",Swimming,M,27,Lacerations to left wrist,N,Unknown
6-Sep-10,6,Sep,2010,Unprovoked,TONGA,Ha'api,NA,Swimming,M,24,Puncture wounds to right foot,N,Unknown
3-Sep-10,3,Sep,2010,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,24,Lacerations to right  hand,N,Unknown
3-Sep-10,3,Sep,2010,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,24,Left thigh bitten,N,Unknown
18-Aug-10,18,Aug,2010,Unprovoked,USA,Florida,Crescent Beach St. Johns County,Paddle and Boogie boarding,M,10,Minor injuries to foot,N,Unknown
17-Aug-10,17,Aug,2010,Unprovoked,AUSTRALIA,Western Australia,Cowaramup Bay,Surfing,M,31,FATAL,Y,White shark
14-Aug-10,14,Aug,2010,Boating,USA,California,"Pigeon Point, San Mateo County",Fishing,M,45,"No injury, kayak bitten",N,White shark
10-Aug-10,10,Aug,2010,Unprovoked,SOUTH KOREA,Jeju Province,Jeju Island,Swimming,F,16,Lacerations to left lower leg,N,Unknown
8-Aug-10,8,Aug,2010,Unprovoked,AUSTRALIA,New South Wales,Crescent Head,Surfing,M,47,Left foot bitten,N,Unknown
7-Aug-10,7,Aug,2010,Unprovoked,USA,North Carolina,"Figure Eight Island, Wilmington, New Hanover County",Surfing,M,25,Left foot bitten,N,Unknown
7-Aug-10,7,Aug,2010,Unprovoked,MALTA,NA,"Off Fort St. Elmo, Valetta",Surfing,M,35,"No injury, sail bitten",N,Unknown
2-Aug-10,2,Aug,2010,Unprovoked,USA,Florida,"Micklers Landing, St. Johns County",Standing,F,37,Lacerations to forearm,N,Unknown
25-Jul-10,25,Jul,2010,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",Standing,M,16,Lacerations to right lower leg,N,Unknown
23-Jul-10,23,Jul,2010,Unprovoked,USA,Florida,"Jacksonville Beach, Duval County",Surfing,M,20,Left foot bitten,N,Unknown
19-Jul-10,19,Jul,2010,Unprovoked,USA,South Carolina,Myrtle Beach,Swimming,M,10,Minor lacerations to left calf,N,Blacktip shark
17-Jul-10,17,Jul,2010,Unprovoked,USA,North Carolina,"Wrightsville Beach, New Hanover County",Swimming,F,13,Lacerations to right forearm,N,Tiger shark
17-Jul-10,17,Jul,2010,Unprovoked,USA,Florida,New Smyrna Beach,Surfing,M,55,Minor lacerations to right foot,N,Spinner shark
16-Jul-10,16,Jul,2010,Provoked,SPAIN,Grand Canary Island,"Sardina del Norte, G?ldar",Swimming,M,9,Lacerations to left foot when he stepped on the shark PROVOKED INCIDENT,N,Angel shark
4-Jul-10,4,Jul,2010,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Two Mile Reef, Sodwana Bay",Snorkeling,F,21,Left leg bitten,N,Unknown
3-Jul-10,3,Jul,2010,Provoked,USA,New York,Off Long Island,Fishing,M,20,Laceration to right bicep by hooked shark PROVOKED INCIDENT,N,Blue shark
2-Jul-10,2,Jul,2010,Unprovoked,USA,California,"Pismo Beach, San Luis  Obispo County",Surfing,M,19,Laceration to left foot,N,Unknown
2-Jul-10,2,Jul,2010,Unprovoked,USA,California,"Dog Patch, San Onofre",Paddle and Boogie boarding,M,48,"No injury, board bumped by shark",N,Unknown
27-Jun-10,27,Jun,2010,Unprovoked,USA,Texas,"Eight Mile Beach, Galveston",Surfing,M,20,Lacerations to right foot,N,Bull shark
25-Jun-10,25,Jun,2010,Unprovoked,USA,South Carolina,Fripp Island,Paddle and Boogie boarding,F,6,Laceration to leg,N,Unknown
25-Jun-10,25,Jun,2010,Unprovoked,USA,North Carolina,"Topsail Island, Pender County",Swimming,F,13,Laceration to left foot,N,Unknown
15-Jun-10,15,Jun,2010,Unprovoked,VIETNAM,Binh Dinh Province,Quy Nhon,Swimming,M,17,Laceration to left foot,N,Unknown
10-Jun-10,10,Jun,2010,Unprovoked,USA,Florida,Jacksonville,Paddle and Boogie boarding,F,18,Lacerations to left calf and foot,N,Unknown
6-Jun-10,6,Jun,2010,Unprovoked,AUSTRALIA,Western Australia,"Conspicuous Beach, near Walpole",Surfing,M,40,Severe laceration to right knee,N,Unknown
30-May-10,30,May,2010,Provoked,USA,Florida,Off Tarpon Springs,Fishing,M,49,Laceration to left calf by hooked shark PROVOKED INCIDENT,N,Lemon shark
18-May-10,18,May,2010,Unprovoked,VIETNAM,Binh Dinh Province,Quy Nhon,Swimming,F,60,Severe lacerations to left foot,N,Unknown
3-May-10,3,May,2010,Unprovoked,MADAGASCAR,Antsiranana Province,"Ambatolaoka, Nosy Be Island",Diving,M,59,Lacerations to arm & chest,N,Unknown
1-May-10,1,May,2010,Unprovoked,USA,Florida,New Smyrna Beach,Walking,F,10,Minor puncture wounds to right ankle,N,Unknown
19-Apr-10,19,Apr,2010,Unprovoked,USA,Hawaii,"Hanalei Bay, Kauai",Surfing,M,68,"No injury, surfboard bitten",N,Unknown
13-Apr-10,13,Apr,2010,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"East Beach, Port Alfred",Surfing,M,35,Both feet bitten,N,Unknown
4-Apr-10,4,Apr,2010,Unprovoked,EGYPT,Sinai Peninsula,Sharm el-Sheikh,Swimming,M,24,Lacerations to left ankle and foot,N,Oceanic whitetip shark
27-Mar-10,27,Mar,2010,Unprovoked,REUNION,Saint-Benoit,Bittern,Surfing,M,34,"No injury, board bitten",N,Unknown
15-Feb-10,15,Feb,2010,Unprovoked,FIJI,Off Vanua Levu,Nara Reef,Diving,M,19,FATAL,Y,Unknown
13-Feb-10,13,Feb,2010,Unprovoked,AUSTRALIA,Queensland,"Dent Island, Whitsundays",Snorkeling,F,60,Lacerations to legs & buttocks,N,Unknown
11-Feb-10,11,Feb,2010,Unprovoked,AUSTRALIA,New South Wales,"Mona Vale Beach, Sydney",Surfing,M,46,"Minor injury, lacerations to left lower leg",N,Wobbegong shark
6-Feb-10,6,Feb,2010,Unprovoked,AUSTRALIA,New South Wales,Turners' Beach,Paddle and Boogie boarding,M,18,"No injury, shark & board collided",N,White shark
3-Feb-10,3,Feb,2010,Unprovoked,USA,Florida,"Stuart, Martin County",Paddle and Boogie boarding,M,38,FATAL,Y,Unknown
1-Feb-10,1,Feb,2010,Provoked,NEW ZEALAND,South Island,Oreti Beach,Paddle and Boogie boarding,F,14,Stepped on shark PROVOKED INCIDENT,N,Unknown
22-Jan-10,22,Jan,2010,Unprovoked,UNITED ARAB?EMIRATES,Dubai,"Umm Suqeim Beach, Dubai",Surfing,M,54,Laceration to bottom of foot,N,Unknown
12-Jan-10,12,Jan,2010,Unprovoked,SOUTH AFRICA,Western Province,Fish Hoek,Standing,M,37,FATAL,Y,White shark
9-Jan-10,9,Jan,2010,Unprovoked,AUSTRALIA,Torres Strait,Thursday Island,Snorkeling,F,9,2 sets of minor lacerations below her right knee,N,Reef shark
6-Jan-10,6,Jan,2010,Unprovoked,USA,Florida,Elliot Key,Fishing,M,32,Lacerations to  arm,N,Unknown
29-Dec-09,29,Dec,2009,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Port Alfred,Walking,M,20,Lacerations to  left foot,N,Unknown
26-Dec-09,26,Dec,2009,Provoked,AUSTRALIA,New South Wales,Avoca Beach,Swimming,M,55,Lacerations to lower left leg after stepping on the shark                 PROVOKED INCIDENT,N,Unknown
22-Dec-09,22,Dec,2009,Unprovoked,MOZAMBIQUE,Maputo Province,Ponta do Ouro,Swimming,M,27,Multiple lacerations to right torso & arm. Defense wounds on  hands,N,Zambesi shark
20-Dec-09,20,Dec,2009,Unprovoked,AUSTRALIA,Queensland,Lamont Reef,Fishing,M,18,Lacerations to hand & forearm,N,Bull shark
18-Dec-09,18,Dec,2009,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Second Beach, Port St. Johns",Paddle and Boogie boarding,M,22,FATAL,Y,Unknown
16-Dec-09,16,Dec,2009,Unprovoked,NEW ZEALAND,South Island,Clark Island,Swimming,M,24,FATAL,Y,White shark
13-Dec-09,13,Dec,2009,Unprovoked,AUSTRALIA,New South Wales,Coffee Head,Surfing,M,39,Laceration to big toe,N,Unknown
5-Dec-09,5,Dec,2009,Provoked,USA,New Jersey,"Adventure Aquarium, Camden",Diving,M,58,Lacerations & puncture wounds to right calf & ankle when diver accidentally backed into the shark  PROVOKED INCIDENT,N,Tiger shark
24-Nov-09,24,Nov,2009,Unprovoked,USA,Florida,"Lori Wilson Park, Cocoa Beach, Brevard County",Walking,M,10,Left foot bitten,N,Unknown
16-Nov-09,16,Nov,2009,Unprovoked,USA,California,"Loch Lomond, Marin County",Fishing,M,31,Puncture wounds and minor lacerations to dorsal surface of his left hand,N,Thresher shark
16-Nov-09,16,Nov,2009,Unprovoked,USA,Florida,"Jupiter, Palm Beach County",Surfing,M,22,Foot bitten,N,Unknown
13-Nov-09,13,Nov,2009,Unprovoked,USA,Florida,"Jupiter, Palm Beach County",Surfing,F,27,Foot bitten,N,Unknown
11-Nov-09,11,Nov,2009,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,18,Foot bitten,N,Unknown
8-Nov-09,8,Nov,2009,Unprovoked,AUSTRALIA,South Australia,Second Valley,Kayaking,M,25,Ankle bitten,N,Unknown
5-Nov-09,5,Nov,2009,Unprovoked,USA,California,"Davenport, Santa Cruz County",Surfing,M,21,"No injury, board broken in half",N,Unknown
30-Oct-09,30,Oct,2009,Boating,AUSTRALIA,Victoria,Portland,Kayaking,M,27,"No injury, shark bit kayak",N,White shark
28-Oct-09,28,Oct,2009,Unprovoked,AUSTRALIA,New South Wales,Lennox Heads,Paddle and Boogie boarding,F,17,"No injury, shark bit rear of paddleboard",N,Unknown
19-Oct-09,19,Oct,2009,Unprovoked,USA,Hawaii,"Kalama Park, Maui",Surfing,M,54,Bitten on upper right thigh & right ankle,N,Unknown
18-Oct-09,18,Oct,2009,Unprovoked,PANAMA,Bocas,Playa La Caba?a,Walking,F,10,Arm & torso bitten,N,Unknown
